audio1_path,audio2_path,ground_truth,prediction,score1,score2,reasoning1,reasoning2,correct,prompt_type,dataset_name,n_shots,transcript_type,aggregate_fewshot,instruction_id,groundtruth1,groundtruth2
audio_data/thaimos_audio/7/audio_a.wav,audio_data/thaimos_audio/7/audio_b.wav,2,2,4,5,"The audio clip demonstrates clear articulation with minimal distortion, noise, or artifacts, indicating good clarity. The speech has a natural flow with appropriate intonation and expressiveness, contributing to its naturalness. Overall, the audio presents a coherent and pleasant listening experience, closely resembling a natural human voice.","The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating good clarity. The speech has a natural flow with appropriate intonation and expressiveness, contributing to its naturalness. Overall, the audio sounds coherent and lifelike, providing a pleasant listening experience.",1.0,standard_cot,thaimos,4,none,True,,2.8125,4.5
audio_data/thaimos_audio/8/audio_a.wav,audio_data/thaimos_audio/8/audio_b.wav,2,tie,4,4,"The audio clip demonstrates clear articulation with minimal distortion, noise, or artifacts, indicating good clarity. The speech has a natural flow with appropriate intonation and expressiveness, contributing to its naturalness. Overall, the audio presents a coherent and pleasant listening experience, closely resembling a natural human voice.","The audio clip demonstrates clear articulation with minimal distortion, noise, or artifacts, indicating good clarity. The speech has a natural flow with appropriate intonation and expressiveness, contributing to its naturalness. Overall, the audio presents a coherent and pleasant listening experience, closely resembling a natural human voice.",0.5,standard_cot,thaimos,4,none,True,,2.6875,3.4375
audio_data/thaimos_audio/9/audio_a.wav,audio_data/thaimos_audio/9/audio_b.wav,2,1,5,4,"The audio clip demonstrates clear articulation with minimal distortion, noise, or artifacts, indicating good clarity. The speech has a natural flow with appropriate intonation and rhythm, contributing to its naturalness. Overall, the audio presents a coherent and pleasant listening experience, resembling a natural human voice. There are no significant issues that detract from the quality, making it sound lifelike and engaging.","The audio clip demonstrates clear articulation with minimal distortion, noise, or artifacts, indicating good clarity. The speech has a natural flow with appropriate intonation and rhythm, contributing to its naturalness. Overall, the audio presents a coherent and pleasant listening experience, closely resembling a natural human voice.",0.0,standard_cot,thaimos,4,none,True,,2.5625,4.5625
audio_data/thaimos_audio/10/audio_a.wav,audio_data/thaimos_audio/10/audio_b.wav,2,1,5,4,"The audio clip demonstrates clear articulation with minimal distortion, noise, or artifacts, indicating good clarity. The speech has a natural flow with appropriate intonation and rhythm, contributing to its naturalness. Overall, the audio presents a coherent and pleasant listening experience, resembling a natural human voice. There are no significant issues that detract from the quality, making it sound lifelike and engaging.","The audio clip demonstrates clear articulation with minimal distortion, noise, or artifacts, indicating good clarity. The speech has a natural flow with appropriate intonation and expressiveness, contributing to its naturalness. Overall, the audio presents a coherent and pleasant listening experience, closely resembling a natural human voice.",0.0,standard_cot,thaimos,4,none,True,,2.25,4.125
audio_data/thaimos_audio/12/audio_a.wav,audio_data/thaimos_audio/12/audio_b.wav,2,tie,4,4,"The audio clip demonstrates clear articulation with minimal distortion, noise, or artifacts, indicating good clarity. The speech has a natural flow with appropriate intonation and expressiveness, contributing to its naturalness. Overall, the audio presents a coherent and pleasant listening experience, closely resembling a natural human voice.","The audio clip demonstrates clear articulation with minimal distortion, noise, or artifacts, indicating good clarity. The speech has a natural flow, with appropriate intonation and expressiveness, contributing to its naturalness. Overall, the audio presents a coherent and pleasant listening experience, closely resembling a natural human voice.",0.5,standard_cot,thaimos,4,none,True,,3.4375,4.125
audio_data/thaimos_audio/13/audio_a.wav,audio_data/thaimos_audio/13/audio_b.wav,1,tie,4,4,"The audio clip demonstrates clear articulation with minimal distortion, noise, or artifacts, indicating good clarity. The speech has a natural flow with appropriate intonation and rhythm, contributing to its naturalness. Overall, the audio presents a coherent and pleasant listening experience, closely resembling a natural human voice.","The audio clip demonstrates clear articulation with minimal distortion, noise, or artifacts, indicating good clarity. The speech has a natural flow with appropriate intonation and rhythm, contributing to its naturalness. Overall, the audio presents a coherent and pleasant listening experience, closely resembling a natural human voice.",0.5,standard_cot,thaimos,4,none,True,,3.9375,1.125
audio_data/thaimos_audio/14/audio_a.wav,audio_data/thaimos_audio/14/audio_b.wav,1,2,4,5,"The audio clip demonstrates clear articulation with minimal distortion, noise, or artifacts, indicating good clarity. The speech has a natural flow with appropriate intonation and rhythm, contributing to its naturalness. Overall, the audio sounds coherent and lifelike, with only minor issues that do not significantly detract from the listening experience.","The audio clip demonstrates clear articulation with minimal distortion, noise, or artifacts, indicating good clarity. The speech has a natural flow with appropriate intonation and rhythm, contributing to its naturalness. Overall, the audio sounds coherent and lifelike, providing a pleasant listening experience. There are no significant issues that detract from the quality, making it a high-quality recording.",0.0,standard_cot,thaimos,4,none,True,,4.1875,1.25
audio_data/thaimos_audio/15/audio_a.wav,audio_data/thaimos_audio/15/audio_b.wav,2,2,4,5,"The audio clip demonstrates clear articulation with minimal distortion, noise, or artifacts, indicating good clarity. The speech has a natural flow with appropriate intonation and rhythm, contributing to its naturalness. Overall, the audio presents a coherent and pleasant listening experience, resembling a natural human voice.","The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating good clarity. The speech has a natural flow with appropriate intonation and rhythm, contributing to its naturalness. Overall, the audio presents a coherent and pleasant listening experience, closely resembling a natural human voice.",1.0,standard_cot,thaimos,4,none,True,,1.5625,4.8125
audio_data/thaimos_audio/16/audio_a.wav,audio_data/thaimos_audio/16/audio_b.wav,1,1,5,4,"The audio clip presents speech that is clear and free from significant distortions, noise, or artifacts, indicating good clarity. The naturalness of the speech is also commendable, with a rhythm and intonation that closely resemble natural human speech. The expressiveness is appropriate, contributing to a lifelike quality. Overall, the audio leaves a positive impression with its coherence and pleasant sound, suggesting a high level of quality.","The audio clip demonstrates clear articulation with minimal distortion, noise, or artifacts, indicating good clarity. The speech has a natural flow with appropriate intonation and rhythm, contributing to its naturalness. Overall, the audio presents a coherent and pleasant listening experience, resembling a natural human voice.",1.0,standard_cot,thaimos,4,none,True,,4.5625,3.875
audio_data/thaimos_audio/17/audio_a.wav,audio_data/thaimos_audio/17/audio_b.wav,1,1,5,4,"The audio clip demonstrates clear articulation with minimal distortion, noise, or artifacts, indicating good clarity. The speech has a natural flow with appropriate intonation and rhythm, contributing to its naturalness. Overall, the audio presents a coherent and pleasant listening experience, resembling a natural human voice. There are no significant issues that detract from the quality, making it sound lifelike and engaging.","The audio clip demonstrates clear articulation with minimal distortion, noise, or artifacts, indicating good clarity. The speech has a natural flow with appropriate intonation and rhythm, contributing to its naturalness. Overall, the audio presents a coherent and pleasant listening experience, closely resembling a natural human voice.",1.0,standard_cot,thaimos,4,none,True,,4.125,1.125
