index,model_a,model_b,prediction,ground_truth
4622,claude-v1,gpt-3.5-turbo,tie,1
7696,gpt-3.5-turbo,wizardlm-13b,2,1
6163,gpt-4,oasst-pythia-12b,1,1
3094,oasst-pythia-12b,claude-v1,2,2
5656,RWKV-4-Raven-14B,vicuna-13b,1,1
4120,mpt-7b-chat,claude-v1,1,1
2073,alpaca-13b,llama-13b,1,2
2586,koala-13b,gpt-3.5-turbo,1,1
1052,alpaca-13b,fastchat-t5-3b,1,2
7196,guanaco-33b,gpt-4,2,2
1053,oasst-pythia-12b,koala-13b,1,2
4124,koala-13b,fastchat-t5-3b,2,2
6685,RWKV-4-Raven-14B,vicuna-7b,1,1
7205,wizardlm-13b,vicuna-13b,1,1
41,alpaca-13b,vicuna-13b,2,1
4650,gpt-3.5-turbo,claude-v1,1,1
1068,fastchat-t5-3b,llama-13b,2,1
3117,claude-v1,fastchat-t5-3b,2,1
6707,gpt-3.5-turbo,fastchat-t5-3b,1,1
1075,dolly-v2-12b,koala-13b,2,2
3130,RWKV-4-Raven-14B,mpt-7b-chat,1,1
6715,gpt-4,chatglm-6b,1,1
2109,RWKV-4-Raven-14B,claude-v1,1,1
1597,gpt-4,llama-13b,tie,1
2628,vicuna-13b,llama-13b,1,1
1604,dolly-v2-12b,gpt-4,2,2
5712,vicuna-13b,palm-2,2,2
2642,vicuna-13b,dolly-v2-12b,1,1
4694,RWKV-4-Raven-14B,gpt-4,2,2
2137,alpaca-13b,oasst-pythia-12b,tie,1
1119,alpaca-13b,llama-13b,1,1
4706,gpt-4,RWKV-4-Raven-14B,1,1
4195,oasst-pythia-12b,chatglm-6b,2,1
4196,palm-2,oasst-pythia-12b,2,1
7781,vicuna-13b,gpt-4,2,2
1130,oasst-pythia-12b,stablelm-tuned-alpha-7b,2,2
2158,oasst-pythia-12b,RWKV-4-Raven-14B,2,2
2160,alpaca-13b,llama-13b,1,1
623,dolly-v2-12b,alpaca-13b,1,2
2164,vicuna-13b,gpt-3.5-turbo,1,1
631,stablelm-tuned-alpha-7b,vicuna-13b,2,2
3192,gpt-4,RWKV-4-Raven-14B,1,1
3705,dolly-v2-12b,koala-13b,2,2
1661,alpaca-13b,gpt-4,2,2
6783,RWKV-4-Raven-14B,oasst-pythia-12b,2,2
3711,koala-13b,gpt-3.5-turbo,1,2
4229,alpaca-13b,palm-2,2,2
7302,gpt4all-13b-snoozy,gpt-4,tie,1
1159,dolly-v2-12b,fastchat-t5-3b,1,1
6793,koala-13b,vicuna-7b,1,2
4234,koala-13b,mpt-7b-chat,2,2
5772,vicuna-13b,gpt-4,2,2
654,stablelm-tuned-alpha-7b,llama-13b,2,1
6287,alpaca-13b,oasst-pythia-12b,1,2
7312,wizardlm-13b,vicuna-7b,1,1
1680,RWKV-4-Raven-14B,alpaca-13b,2,1
4758,fastchat-t5-3b,oasst-pythia-12b,2,2
7318,koala-13b,vicuna-7b,2,1
6811,mpt-7b-chat,gpt-3.5-turbo,2,2
2205,gpt-3.5-turbo,RWKV-4-Raven-14B,1,1
157,oasst-pythia-12b,alpaca-13b,2,2
5789,palm-2,RWKV-4-Raven-14B,1,1
6303,chatglm-6b,vicuna-13b,1,1
6304,alpaca-13b,palm-2,2,1
6307,koala-13b,gpt-3.5-turbo,2,1
7332,gpt4all-13b-snoozy,wizardlm-13b,2,2
4267,palm-2,chatglm-6b,1,1
4273,alpaca-13b,fastchat-t5-3b,1,2
5813,vicuna-7b,gpt-3.5-turbo,1,2
3253,gpt-3.5-turbo,oasst-pythia-12b,1,2
7353,oasst-pythia-12b,gpt-4,2,2
2748,llama-13b,oasst-pythia-12b,2,2
1729,gpt-4,gpt-3.5-turbo,1,2
1738,RWKV-4-Raven-14B,vicuna-13b,2,2
5836,claude-instant-v1,claude-v1,2,1
2767,stablelm-tuned-alpha-7b,claude-v1,2,2
5842,mpt-7b-chat,gpt-3.5-turbo,1,1
2262,RWKV-4-Raven-14B,chatglm-6b,1,1
1238,alpaca-13b,dolly-v2-12b,1,1
7386,oasst-pythia-12b,wizardlm-13b,2,2
3291,vicuna-13b,gpt-3.5-turbo,2,2
6365,palm-2,stablelm-tuned-alpha-7b,1,2
5855,mpt-7b-chat,palm-2,2,1
4832,mpt-7b-chat,oasst-pythia-12b,1,1
4833,koala-13b,gpt-4,2,2
5860,vicuna-7b,alpaca-13b,2,2
4330,gpt-4,mpt-7b-chat,1,1
2801,dolly-v2-12b,llama-13b,1,1
5872,koala-13b,RWKV-4-Raven-14B,1,1
2293,llama-13b,oasst-pythia-12b,2,2
758,chatglm-6b,alpaca-13b,1,1
1279,oasst-pythia-12b,gpt-3.5-turbo,2,2
1281,gpt-3.5-turbo,oasst-pythia-12b,2,1
770,stablelm-tuned-alpha-7b,oasst-pythia-12b,1,1
5894,vicuna-7b,gpt-4,2,1
775,vicuna-13b,alpaca-13b,1,1
1802,alpaca-13b,chatglm-6b,2,2
1808,llama-13b,gpt-4,1,2
790,llama-13b,vicuna-13b,2,2
3352,claude-v1,alpaca-13b,2,1
1821,gpt-4,vicuna-13b,tie,2
797,oasst-pythia-12b,vicuna-13b,2,2
3873,gpt-4,oasst-pythia-12b,1,1
5926,vicuna-13b,claude-instant-v1,1,2
3370,vicuna-13b,gpt-3.5-turbo,2,2
3883,fastchat-t5-3b,gpt-4,1,1
2349,dolly-v2-12b,claude-v1,2,2
4912,alpaca-13b,vicuna-7b,1,1
6451,vicuna-13b,gpt-3.5-turbo,1,1
5433,vicuna-7b,koala-13b,2,1
1339,oasst-pythia-12b,stablelm-tuned-alpha-7b,1,1
2877,koala-13b,fastchat-t5-3b,1,2
2365,gpt-3.5-turbo,fastchat-t5-3b,1,1
4929,vicuna-13b,gpt-4,1,2
1859,gpt-3.5-turbo,llama-13b,1,1
4422,alpaca-13b,dolly-v2-12b,1,1
7496,palm-2,wizardlm-13b,2,1
5963,chatglm-6b,gpt-4,2,2
5454,mpt-7b-chat,gpt-3.5-turbo,2,2
1360,chatglm-6b,oasst-pythia-12b,1,1
6993,alpaca-13b,guanaco-33b,2,2
4947,mpt-7b-chat,vicuna-7b,2,2
4949,palm-2,vicuna-13b,2,2
4951,gpt-4,alpaca-13b,1,1
345,vicuna-13b,koala-13b,1,2
2909,koala-13b,vicuna-13b,2,2
350,vicuna-13b,oasst-pythia-12b,2,2
1887,oasst-pythia-12b,fastchat-t5-3b,2,2
861,dolly-v2-12b,alpaca-13b,1,2
6497,vicuna-7b,palm-2,2,1
3939,vicuna-13b,alpaca-13b,1,1
4454,chatglm-6b,mpt-7b-chat,1,2
7527,RWKV-4-Raven-14B,mpt-7b-chat,2,1
3944,alpaca-13b,koala-13b,2,2
5482,dolly-v2-12b,vicuna-13b,2,2
5997,vicuna-13b,oasst-pythia-12b,tie,1
2929,oasst-pythia-12b,gpt-4,2,2
1393,gpt-4,koala-13b,1,1
4978,vicuna-7b,chatglm-6b,1,1
7540,oasst-pythia-12b,vicuna-7b,1,2
1909,gpt-3.5-turbo,RWKV-4-Raven-14B,1,1
882,alpaca-13b,oasst-pythia-12b,tie,2
377,dolly-v2-12b,alpaca-13b,2,2
4474,stablelm-tuned-alpha-7b,vicuna-13b,2,2
4478,gpt-3.5-turbo,alpaca-13b,2,2
6019,vicuna-13b,claude-instant-v1,tie,1
4484,stablelm-tuned-alpha-7b,gpt-4,1,1
6020,claude-instant-v1,chatglm-6b,2,1
899,alpaca-13b,dolly-v2-12b,1,1
6541,chatglm-6b,vicuna-13b,2,1
4494,koala-13b,chatglm-6b,1,2
4498,koala-13b,alpaca-13b,1,1
403,stablelm-tuned-alpha-7b,koala-13b,2,2
7573,alpaca-13b,guanaco-33b,2,2
5019,gpt-3.5-turbo,vicuna-7b,2,2
3483,alpaca-13b,RWKV-4-Raven-14B,2,2
925,stablelm-tuned-alpha-7b,alpaca-13b,2,2
5025,stablelm-tuned-alpha-7b,gpt-4,2,1
930,vicuna-13b,llama-13b,1,2
5027,vicuna-13b,gpt-3.5-turbo,2,2
5546,dolly-v2-12b,oasst-pythia-12b,tie,2
1966,RWKV-4-Raven-14B,dolly-v2-12b,2,1
7087,wizardlm-13b,chatglm-6b,2,2
2481,dolly-v2-12b,koala-13b,2,1
1458,vicuna-13b,oasst-pythia-12b,2,1
2484,gpt-3.5-turbo,alpaca-13b,1,1
437,alpaca-13b,oasst-pythia-12b,2,1
7605,vicuna-13b,wizardlm-13b,1,1
6584,RWKV-4-Raven-14B,koala-13b,2,2
7097,koala-13b,gpt-4,1,2
5051,oasst-pythia-12b,vicuna-13b,2,2
5565,dolly-v2-12b,mpt-7b-chat,2,2
1983,RWKV-4-Raven-14B,dolly-v2-12b,1,1
6083,koala-13b,vicuna-7b,2,2
4549,palm-2,RWKV-4-Raven-14B,1,1
456,stablelm-tuned-alpha-7b,alpaca-13b,2,2
6091,vicuna-7b,claude-v1,1,2
1485,llama-13b,oasst-pythia-12b,2,2
7629,oasst-pythia-12b,alpaca-13b,tie,1
5583,claude-instant-v1,palm-2,1,1
976,alpaca-13b,oasst-pythia-12b,1,1
981,dolly-v2-12b,alpaca-13b,2,2
471,stablelm-tuned-alpha-7b,oasst-pythia-12b,2,2
6618,dolly-v2-12b,mpt-7b-chat,2,2
4068,alpaca-13b,chatglm-6b,1,2
5613,stablelm-tuned-alpha-7b,claude-v1,2,1
2031,vicuna-13b,dolly-v2-12b,1,1
7154,fastchat-t5-3b,gpt-3.5-turbo,2,2
6131,claude-instant-v1,vicuna-13b,1,1
4087,dolly-v2-12b,claude-v1,2,2
1529,vicuna-13b,koala-13b,1,1
6650,gpt-4,chatglm-6b,1,1
4603,gpt-4,palm-2,1,1
