index,model_a,model_b,prediction,ground_truth
4622,gpt-3.5-turbo,claude-v1,2,tie
7696,wizardlm-13b,gpt-3.5-turbo,1,2
6163,oasst-pythia-12b,gpt-4,1,2
3094,claude-v1,oasst-pythia-12b,1,tie
5656,vicuna-13b,RWKV-4-Raven-14B,2,2
4120,claude-v1,mpt-7b-chat,2,2
2073,llama-13b,alpaca-13b,2,tie
2586,gpt-3.5-turbo,koala-13b,2,tie
1052,fastchat-t5-3b,alpaca-13b,2,1
7196,gpt-4,guanaco-33b,1,1
1053,koala-13b,oasst-pythia-12b,2,1
4124,fastchat-t5-3b,koala-13b,1,tie
6685,vicuna-7b,RWKV-4-Raven-14B,1,2
7205,vicuna-13b,wizardlm-13b,2,2
41,vicuna-13b,alpaca-13b,1,2
4650,claude-v1,gpt-3.5-turbo,2,2
1068,llama-13b,fastchat-t5-3b,1,2
3117,fastchat-t5-3b,claude-v1,1,tie
6707,fastchat-t5-3b,gpt-3.5-turbo,2,2
1075,koala-13b,dolly-v2-12b,1,tie
3130,mpt-7b-chat,RWKV-4-Raven-14B,2,2
6715,chatglm-6b,gpt-4,2,2
2109,claude-v1,RWKV-4-Raven-14B,2,tie
1597,llama-13b,gpt-4,2,tie
2628,llama-13b,vicuna-13b,2,2
1604,gpt-4,dolly-v2-12b,1,1
5712,palm-2,vicuna-13b,1,tie
2642,dolly-v2-12b,vicuna-13b,2,tie
4694,gpt-4,RWKV-4-Raven-14B,1,1
2137,oasst-pythia-12b,alpaca-13b,2,tie
1119,llama-13b,alpaca-13b,2,tie
4706,RWKV-4-Raven-14B,gpt-4,2,2
4195,chatglm-6b,oasst-pythia-12b,2,tie
4196,oasst-pythia-12b,palm-2,1,tie
7781,gpt-4,vicuna-13b,2,1
1130,stablelm-tuned-alpha-7b,oasst-pythia-12b,1,tie
2158,RWKV-4-Raven-14B,oasst-pythia-12b,1,1
2160,llama-13b,alpaca-13b,2,2
623,alpaca-13b,dolly-v2-12b,tie,tie
2164,gpt-3.5-turbo,vicuna-13b,2,2
631,vicuna-13b,stablelm-tuned-alpha-7b,1,1
3192,RWKV-4-Raven-14B,gpt-4,2,2
3705,koala-13b,dolly-v2-12b,1,tie
1661,gpt-4,alpaca-13b,1,1
6783,oasst-pythia-12b,RWKV-4-Raven-14B,1,1
3711,gpt-3.5-turbo,koala-13b,2,1
2178,alpaca-13b,chatglm-6b,2,tie
4229,palm-2,alpaca-13b,1,1
7302,gpt-4,gpt4all-13b-snoozy,2,tie
1159,fastchat-t5-3b,dolly-v2-12b,2,2
6793,vicuna-7b,koala-13b,tie,tie
4234,mpt-7b-chat,koala-13b,2,tie
5772,gpt-4,vicuna-13b,1,tie
654,llama-13b,stablelm-tuned-alpha-7b,tie,tie
6287,oasst-pythia-12b,alpaca-13b,2,tie
7312,vicuna-7b,wizardlm-13b,2,2
1680,alpaca-13b,RWKV-4-Raven-14B,2,2
4758,oasst-pythia-12b,fastchat-t5-3b,1,1
7318,vicuna-7b,koala-13b,2,2
6811,gpt-3.5-turbo,mpt-7b-chat,1,1
2205,RWKV-4-Raven-14B,gpt-3.5-turbo,2,2
157,alpaca-13b,oasst-pythia-12b,1,1
5789,RWKV-4-Raven-14B,palm-2,2,2
6303,vicuna-13b,chatglm-6b,2,2
6301,gpt-4,dolly-v2-12b,1,1
6307,gpt-3.5-turbo,koala-13b,1,2
7332,wizardlm-13b,gpt4all-13b-snoozy,2,1
4267,chatglm-6b,palm-2,2,2
4273,fastchat-t5-3b,alpaca-13b,2,tie
5813,gpt-3.5-turbo,vicuna-7b,2,1
3253,oasst-pythia-12b,gpt-3.5-turbo,1,1
7353,gpt-4,oasst-pythia-12b,1,1
2748,oasst-pythia-12b,llama-13b,1,1
1729,gpt-3.5-turbo,gpt-4,2,1
1738,vicuna-13b,RWKV-4-Raven-14B,1,1
5836,claude-v1,claude-instant-v1,1,2
2767,claude-v1,stablelm-tuned-alpha-7b,2,1
