index,model_a,model_b,prediction,ground_truth
0,moshi,diva+tts,2,tie
7,gemini2-flash-exp+asr+tts,moshi,2,tie
8,gemini2-flash-text+tts,typhoon2-audio+tts,1,1
11,gemini2-flash-exp,gemini2-flash-exp+asr+tts,2,1
13,typhoon2-audio,gemini2-flash-exp+asr+tts,2,2
17,typhoon2-audio,asr+llama3+tts,2,2
19,gpt4o-text+tts,llama-omni,2,tie
20,gpt4o-audio+asr+tts,asr+llama3+tts,2,tie
21,gemini2-flash-exp+asr+tts,diva+tts,2,1
24,gemini2-flash-text+tts,gpt4o-audio,2,2
33,typhoon2-audio,asr+llama3+tts,2,2
34,gemini2-flash-exp+asr+tts,diva+tts,1,tie
39,qwen2-audio+tts,asr+llama3+tts,2,2
43,gemini2-flash-exp,gpt4o-text+tts,2,1
44,gpt4o-text+tts,gpt4o-audio+asr+tts,tie,tie
47,gpt4o-audio+asr+tts,gemini2-flash-exp+asr+tts,1,1
48,llama-omni,gpt4o-audio+asr+tts,2,2
49,diva+tts,gemini2-flash-text+tts,1,tie
50,gemini2-flash-text+tts,typhoon2-audio,1,1
52,typhoon2-audio+tts,gpt4o-text+tts,2,2
53,qwen2-audio+tts,diva+tts,1,2
57,gpt4o-text+tts,moshi,1,1
61,gemini2-flash-text+tts,typhoon2-audio,1,1
65,typhoon2-audio+tts,llama-omni,2,2
68,asr+llama3+tts,qwen2-audio+tts,1,1
74,llama-omni,qwen2-audio+tts,2,tie
75,gpt4o-audio,gpt4o-audio+asr+tts,1,tie
77,llama-omni,typhoon2-audio,tie,2
78,llama-omni,gpt4o-audio+asr+tts,2,2
79,gpt4o-audio+asr+tts,typhoon2-audio,2,tie
91,gpt4o-audio,typhoon2-audio+tts,tie,tie
98,gpt4o-text+tts,typhoon2-audio+tts,1,1
99,typhoon2-audio,gemini2-flash-text+tts,2,2
100,gemini2-flash-exp,qwen2-audio+tts,2,1
102,qwen2-audio+tts,gpt4o-text+tts,1,tie
104,typhoon2-audio+tts,gemini2-flash-exp,2,2
109,gemini2-flash-exp+asr+tts,gpt4o-audio,1,2
112,typhoon2-audio+tts,llama-omni,1,tie
115,gpt4o-audio+asr+tts,typhoon2-audio+tts,1,1
116,gemini2-flash-exp+asr+tts,gemini2-flash-text+tts,1,tie
117,asr+llama3+tts,moshi,1,1
118,gemini2-flash-exp,qwen2-audio+tts,2,1
125,typhoon2-audio,gemini2-flash-exp+asr+tts,2,2
127,gemini2-flash-exp+asr+tts,gpt4o-audio+asr+tts,1,tie
128,typhoon2-audio,gpt4o-audio+asr+tts,2,2
129,llama-omni,diva+tts,2,2
133,gemini2-flash-exp+asr+tts,gemini2-flash-exp,2,tie
137,gpt4o-text+tts,typhoon2-audio+tts,1,1
138,gpt4o-audio,gemini2-flash-text+tts,1,1
144,qwen2-audio+tts,typhoon2-audio,2,tie
146,gemini2-flash-text+tts,gemini2-flash-exp,2,tie
147,qwen2-audio+tts,gemini2-flash-text+tts,1,1
150,llama-omni,qwen2-audio+tts,2,2
153,moshi,qwen2-audio+tts,2,2
154,typhoon2-audio,typhoon2-audio+tts,2,tie
155,moshi,typhoon2-audio,2,2
160,gpt4o-audio,asr+llama3+tts,1,tie
161,typhoon2-audio+tts,gpt4o-audio+asr+tts,2,tie
164,typhoon2-audio,gpt4o-audio+asr+tts,2,2
167,diva+tts,typhoon2-audio+tts,2,1
168,asr+llama3+tts,gpt4o-text+tts,2,tie
169,gemini2-flash-exp+asr+tts,asr+llama3+tts,1,1
172,moshi,gpt4o-audio,2,tie
175,llama-omni,asr+llama3+tts,2,2
176,moshi,diva+tts,2,2
177,gemini2-flash-text+tts,gemini2-flash-exp,2,tie
187,typhoon2-audio,gpt4o-audio+asr+tts,2,2
188,typhoon2-audio+tts,gpt4o-text+tts,2,tie
189,gemini2-flash-exp,gpt4o-text+tts,2,1
195,moshi,asr+llama3+tts,2,2
196,typhoon2-audio,typhoon2-audio+tts,2,2
203,diva+tts,gpt4o-text+tts,tie,tie
206,typhoon2-audio+tts,gpt4o-audio,2,2
210,gpt4o-audio+asr+tts,diva+tts,2,1
213,asr+llama3+tts,gpt4o-audio+asr+tts,2,2
220,typhoon2-audio,gpt4o-audio,2,2
221,asr+llama3+tts,gpt4o-audio,1,1
223,gpt4o-text+tts,gpt4o-audio,2,1
224,typhoon2-audio+tts,gpt4o-audio+asr+tts,1,tie
228,qwen2-audio+tts,gemini2-flash-exp+asr+tts,2,2
232,gpt4o-text+tts,diva+tts,2,1
233,gemini2-flash-exp,moshi,1,1
235,typhoon2-audio,gpt4o-text+tts,2,2
236,gemini2-flash-exp+asr+tts,typhoon2-audio,1,1
247,gemini2-flash-exp+asr+tts,moshi,1,1
249,gpt4o-audio,typhoon2-audio,1,1
250,llama-omni,gpt4o-audio+asr+tts,tie,tie
251,moshi,llama-omni,2,2
254,diva+tts,qwen2-audio+tts,tie,tie
255,gpt4o-text+tts,gemini2-flash-text+tts,2,tie
256,typhoon2-audio+tts,gemini2-flash-text+tts,1,tie
258,gpt4o-audio,gemini2-flash-exp+asr+tts,1,1
264,moshi,llama-omni,tie,tie
267,gemini2-flash-exp,moshi,1,1
272,asr+llama3+tts,gemini2-flash-exp,2,2
273,qwen2-audio+tts,gpt4o-audio,1,2
274,gpt4o-audio+asr+tts,gpt4o-text+tts,1,tie
278,gpt4o-text+tts,gemini2-flash-exp,2,2
279,typhoon2-audio,qwen2-audio+tts,2,2
282,typhoon2-audio+tts,moshi,1,1
284,gemini2-flash-text+tts,typhoon2-audio+tts,1,1
286,gpt4o-audio,asr+llama3+tts,2,tie
288,diva+tts,gemini2-flash-exp+asr+tts,2,tie
292,asr+llama3+tts,gemini2-flash-exp,1,2
296,gemini2-flash-exp,gpt4o-audio,2,tie
299,gemini2-flash-exp+asr+tts,qwen2-audio+tts,1,1
300,gemini2-flash-text+tts,moshi,1,1
302,typhoon2-audio,moshi,tie,tie
304,gpt4o-text+tts,diva+tts,tie,1
306,gemini2-flash-text+tts,gpt4o-audio,1,tie
307,diva+tts,gemini2-flash-exp+asr+tts,1,1
312,diva+tts,gpt4o-text+tts,1,2
316,gemini2-flash-text+tts,asr+llama3+tts,2,tie
318,llama-omni,qwen2-audio+tts,1,tie
320,gpt4o-audio+asr+tts,gpt4o-audio,2,2
321,gemini2-flash-exp+asr+tts,moshi,1,1
324,typhoon2-audio+tts,gemini2-flash-text+tts,2,2
326,diva+tts,gpt4o-text+tts,1,1
328,typhoon2-audio+tts,gpt4o-text+tts,1,tie
329,asr+llama3+tts,llama-omni,1,tie
331,typhoon2-audio,gemini2-flash-exp,2,2
336,gpt4o-audio+asr+tts,moshi,1,tie
337,gemini2-flash-text+tts,llama-omni,1,tie
343,typhoon2-audio+tts,gpt4o-text+tts,1,tie
344,gpt4o-audio,gpt4o-audio+asr+tts,1,1
346,qwen2-audio+tts,llama-omni,2,tie
348,gpt4o-audio+asr+tts,qwen2-audio+tts,1,1
352,gpt4o-audio+asr+tts,gpt4o-audio,1,1
353,gpt4o-text+tts,typhoon2-audio,1,1
357,asr+llama3+tts,gemini2-flash-exp,2,2
358,gemini2-flash-exp+asr+tts,asr+llama3+tts,2,tie
359,gpt4o-audio,qwen2-audio+tts,1,1
360,qwen2-audio+tts,gpt4o-text+tts,2,1
368,gemini2-flash-exp+asr+tts,typhoon2-audio+tts,1,1
370,typhoon2-audio+tts,qwen2-audio+tts,2,tie
371,asr+llama3+tts,gpt4o-audio,1,tie
373,gpt4o-text+tts,gpt4o-audio,tie,2
378,gpt4o-audio+asr+tts,llama-omni,1,1
381,typhoon2-audio,gemini2-flash-exp+asr+tts,2,2
383,moshi,qwen2-audio+tts,2,tie
385,gpt4o-audio,gemini2-flash-text+tts,1,1
387,llama-omni,gemini2-flash-exp+asr+tts,2,2
390,qwen2-audio+tts,gpt4o-audio+asr+tts,2,2
391,typhoon2-audio+tts,typhoon2-audio,1,tie
394,typhoon2-audio,gemini2-flash-text+tts,2,2
396,gemini2-flash-exp+asr+tts,llama-omni,1,1
398,gemini2-flash-text+tts,moshi,1,1
401,qwen2-audio+tts,typhoon2-audio+tts,1,tie
403,moshi,typhoon2-audio,2,tie
405,typhoon2-audio+tts,diva+tts,2,2
406,typhoon2-audio,gemini2-flash-text+tts,2,tie
407,gemini2-flash-exp+asr+tts,diva+tts,2,tie
408,diva+tts,gpt4o-audio+asr+tts,2,tie
409,gpt4o-audio+asr+tts,diva+tts,2,tie
411,moshi,typhoon2-audio+tts,tie,tie
417,diva+tts,gemini2-flash-exp,2,tie
418,typhoon2-audio+tts,moshi,1,1
